Date,Category,Amount,Total,Type
2024-05-17,Mprikis,13.0,,0
2024-05-16,Fun,20.0,,0
2024-05-15,Fun,4.5,,0
2024-05-15,Fun,16.5,,0
2024-05-14,Fuel,28.0,,0
2024-05-14,Fun,6.0,,0
2024-05-14,Supermarket,10.0,,0
2024-05-13,Fun,2.3,,0
2024-05-13,Other,20.0,,0
2024-05-13,Fun,1.3,,0
2024-05-13,Parking,30.0,,0
2024-05-13,Health,8.5,,0
2024-05-11,Fun,6.0,,0
2024-05-11,Fun,3.7,,0
2024-05-11,Fun,4.5,,0
2024-05-11,Me,242.0,,0
2024-05-10,Other,140.0,,0
2024-05-10,Me,11.0,,0
2024-05-10,Supermarket,36.0,,0
2024-05-10,Other,13.5,,0
2024-05-09,Supermarket,10.0,,0
2024-05-09,Mprikis,40.0,,0
2024-05-09,Private,24.0,,1
2024-05-08,Gym,50.0,,0
2024-05-08,Gifts,20.0,,0
2024-05-08,Supermarket,14.0,,0
2024-05-08,Fun,8.0,,0
2024-05-06,Fun,3.5,,0
2024-05-05,Vacation,20.0,,0
2024-05-05,Education,24.0,,0
2024-05-05,Vacation,30.0,,0
2024-05-04,Vacation,70.0,,0
2024-05-02,Vacation,50.0,,0
2024-05-01,Vodafone,9.5,,0
2024-05-01,Electricity,35.5,,0
2024-05-01,Rent,245.0,,0
2024-05-01,Vacation,70.0,,0
2024-04-30,Vacation,45.0,,0
2024-04-29,Vacation,70.0,,0
2024-04-28,Vacation,6.0,,0
2024-04-28,Mprikis,12.0,,0
2024-04-28,Vacation,9.0,,0
2024-04-28,Vacation,29.0,,0
2024-04-28,Vacation,10.0,,0
2024-04-27,Other,100.0,,0
2024-04-27,Fun,4.5,,0
2024-04-27,Other,100.0,,0
2024-04-27,Dad,500.0,,1
2024-04-27,Fun,6.5,,0
2024-04-25,Fun,16.0,,0
2024-04-25,Job,1125.0,,1
2024-04-25,Other,70.0,,0
2024-04-25,Fun,5.0,,0
2024-04-25,Fun,8.0,,0
2024-04-25,Fun,12.0,,0
2024-04-24,Gym,50.0,,0
2024-04-24,Job,1072.0,,1
2024-04-24,Private,24.0,,1
2024-04-24,Fuel,2.5,,0
2024-04-24,Fun,15.0,,0
2024-04-23,Fun,4.0,,0
2024-04-23,Me,6.0,,0
2024-04-22,Supermarket,8.5,,0
2024-04-21,Me,10.0,,0
2024-04-20,Fun,9.0,,0
2024-04-20,Fun,24.0,,0
2024-04-19,Me,24.0,,0
2024-04-18,Fun,8.5,,0
2024-04-18,Fuel,25.0,,0
2024-04-18,Fun,5.5,,0
2024-04-18,Haircut,10.0,,0
2024-04-18,Me,10.5,,0
2024-04-18,Me,7.0,,0
2024-04-18,Other,60.0,,0
2024-04-17,Fun,11.0,,0
2024-04-17,Fun,2.0,,0
2024-04-17,Fun,4.1,,0
2024-04-17,Private,24.0,,1
2024-04-17,Supermarket,8.0,,0
2024-04-15,Fun,6.5,,0
2024-04-15,Me,56.0,,0
2024-04-15,Fun,2.2,,0
2024-04-15,Vacation,263.0,,0
2024-04-14,Me,103.0,,0
2024-04-14,Fun,12.0,,0
2024-04-14,Health,13.5,,0
2024-04-13,Mom,150.0,,1
2024-04-13,Fun,15.0,,0
2024-04-13,Gifts,19.0,,0
2024-04-13,Fuel,20.0,,0
2024-04-12,Fun,7.0,,0
2024-04-12,Supermarket,25.5,,0
2024-04-11,Fun,11.0,,0
2024-04-09,Fun,13.2,,0
2024-04-09,Private,24.0,,1
2024-04-07,Fun,10.0,,0
2024-04-07,Fun,12.6,,0
2024-04-06,Fun,6.5,,0
2024-04-05,Fun,13.0,,0
2024-04-05,Gym,50.0,,0
2024-04-04,Fun,2.5,,0
2024-04-04,Health,70.0,,0
2024-04-04,Supermarket,35.0,,0
2024-04-04,Parking,30.0,,0
2024-04-04,Fun,30.0,,0
2024-04-03,Private,30.0,,1
2024-04-03,Fun,4.0,,0
2024-04-03,Fun,7.0,,0
2024-04-03,Fun,9.5,,0
2024-04-03,Fuel,25.0,,0
2024-04-02,Job,1200.0,,1
2024-04-02,Fun,1.8,,0
2024-04-01,Rent,264.0,,0
2024-04-01,Building fees,36.0,,0
2024-04-01,Fun,5.0,,0
2024-04-01,Electricity,62.5,,0
2024-04-01,Supermarket,7.2,,0
2024-04-01,Education,24.0,,0
2024-04-01,Vodafone,9.0,,0
2024-04-01,Fun,2.3,,0
2024-03-31,Fun,15.0,,0
2024-03-31,Gifts,31.0,,0
2024-03-30,Fun,5.0,,0
2024-03-29,Supermarket,13.0,,0
2024-03-29,Other,10.0,,0
2024-03-29,Fun,3.0,,0
2024-03-29,Fun,3.0,,0
2024-03-28,Fun,4.5,,0
2024-03-28,Fun,15.0,,0
2024-03-28,Vodafone,15.0,,0
2024-03-28,Fun,5.0,,0
2024-03-27,Private,20.0,,1
2024-03-27,Mprikis,48.0,,0
2024-03-27,Other,14.0,,0
2024-03-27,Gym,18.5,,0
2024-03-27,Supermarket,19.0,,0
2024-03-25,Fuel,23.0,,0
2024-03-25,Fun,16.0,,0
2024-03-24,Fun,11.0,,0
2024-03-23,Fun,2.3,,0
2024-03-22,Fun,7.5,,0
2024-03-21,Fun,21.3,,0
2024-03-21,Supermarket,9.5,,0
2024-03-20,Private,24.0,,1
2024-03-20,Supermarket,8.5,,0
2024-03-20,Fuel,20.0,,0
2024-03-20,Health,12.0,,0
2024-03-19,Fun,7.5,,0
2024-03-18,Fun,14.0,,0
2024-03-17,Fun,14.0,,0
2024-03-16,Supermarket,22.0,,0
2024-03-16,Fun,9.0,,0
2024-03-16,Dad,250.0,,1
2024-03-16,Fun,16.5,,0
2024-03-14,Haircut,10.0,,0
2024-03-14,Fun,12.5,,0
2024-03-14,Fun,5.0,,0
2024-03-13,Fun,2.5,,0
